date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:48:35	41305/41305	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jul%202019%2010:56:17%20GMT	http://cmasterspin.com/rewards/spins/1000/index.html	C:/Users/Sovannda/Desktop/clone%20web/coin%20master/cmasterspin.com/rewards/spins/1000/index.html	(from )
18:48:35	327/327	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2025%20Aug%202019%2011:48:33%20GMT	http://cmasterspin.com/robots.txt		(from )
18:48:37	67222/67222	---M--	200	added ('OK')	text/css	date:Wed,%2003%20Apr%202019%2010:08:38%20GMT	http://cmasterspin.com/rewards/netdna.bootstrapcdn.com/bootstrap/3.0.0-rc1/css/bootstrap.min.css	C:/Users/Sovannda/Desktop/clone%20web/coin%20master/cmasterspin.com/rewards/netdna.bootstrapcdn.com/bootstrap/3.0.0-rc1/css/bootstrap.min.css	(from http://cmasterspin.com/rewards/spins/1000/index.html)
18:48:38	531/531	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Apr%202019%2010:08:38%20GMT	http://cmasterspin.com/rewards/www.amperordirect.com/mm5/website_v3/images/flags/fr.png	C:/Users/Sovannda/Desktop/clone%20web/coin%20master/cmasterspin.com/rewards/www.amperordirect.com/mm5/website_v3/images/flags/fr.png	(from http://cmasterspin.com/rewards/spins/1000/index.html)
18:48:39	744/744	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Apr%202019%2010:08:38%20GMT	http://cmasterspin.com/rewards/www.amperordirect.com/mm5/website_v3/images/flags/gb.png	C:/Users/Sovannda/Desktop/clone%20web/coin%20master/cmasterspin.com/rewards/www.amperordirect.com/mm5/website_v3/images/flags/gb.png	(from http://cmasterspin.com/rewards/spins/1000/index.html)
18:48:39	463/463	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Apr%202019%2010:08:38%20GMT	http://cmasterspin.com/rewards/www.amperordirect.com/mm5/website_v3/images/flags/nl.png	C:/Users/Sovannda/Desktop/clone%20web/coin%20master/cmasterspin.com/rewards/www.amperordirect.com/mm5/website_v3/images/flags/nl.png	(from http://cmasterspin.com/rewards/spins/1000/index.html)
18:48:40	457/457	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Apr%202019%2010:08:38%20GMT	http://cmasterspin.com/rewards/www.amperordirect.com/mm5/website_v3/images/flags/jp.png	C:/Users/Sovannda/Desktop/clone%20web/coin%20master/cmasterspin.com/rewards/www.amperordirect.com/mm5/website_v3/images/flags/jp.png	(from http://cmasterspin.com/rewards/spins/1000/index.html)
18:48:41	4624/4624	---M-Z	200	added ('OK')	text/html	date:Thu,%2020%20Jun%202019%2008:45:30%20GMT	http://cmasterspin.com/rewards/spins/1000/%3d.html	C:/Users/Sovannda/Desktop/clone%20web/coin%20master/cmasterspin.com/rewards/spins/1000/=.html	(from http://cmasterspin.com/rewards/spins/1000/index.html)
18:48:45	57162/57162	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Apr%202019%2010:08:38%20GMT	http://cmasterspin.com/rewards/i.imgur.com/QD4PJUI.jpg	C:/Users/Sovannda/Desktop/clone%20web/coin%20master/cmasterspin.com/rewards/i.imgur.com/QD4PJUI.jpg	(from http://cmasterspin.com/rewards/spins/1000/index.html)
18:48:48	94840/94840	---M--	200	added ('OK')	application/javascript	date:Wed,%2003%20Apr%202019%2010:08:38%20GMT	http://cmasterspin.com/rewards/ajax.googleapis.com/ajax/libs/jquery/1.7.2/jquery.min.js	C:/Users/Sovannda/Desktop/clone%20web/coin%20master/cmasterspin.com/rewards/ajax.googleapis.com/ajax/libs/jquery/1.7.2/jquery.min.js	(from http://cmasterspin.com/rewards/spins/1000/index.html)
18:48:48	9277/9277	---M--	200	added ('OK')	image/gif	date:Wed,%2003%20Apr%202019%2010:08:38%20GMT	http://cmasterspin.com/rewards/3.bp.blogspot.com/-ipMT6chXYk4/U_Q1sdLmlYI/AAAAAAAAAUQ/AwV2Y9hjV_s/s1600/eyesPointingDown.gif	C:/Users/Sovannda/Desktop/clone%20web/coin%20master/cmasterspin.com/rewards/3.bp.blogspot.com/-ipMT6chXYk4/U_Q1sdLmlYI/AAAAAAAAAUQ/AwV2Y9hjV_s/s1600/eyesPointingDown.gif	(from http://cmasterspin.com/rewards/spins/1000/index.html)
18:48:49	299/299	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Apr%202019%2010:08:38%20GMT	http://cmasterspin.com/rewards/i.imgur.com/IifNcyO.png	C:/Users/Sovannda/Desktop/clone%20web/coin%20master/cmasterspin.com/rewards/i.imgur.com/IifNcyO.png	(from http://cmasterspin.com/rewards/spins/1000/index.html)
18:48:49	7523/7523	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Apr%202019%2010:08:38%20GMT	http://cmasterspin.com/rewards/i.imgur.com/N2hPCmU.png	C:/Users/Sovannda/Desktop/clone%20web/coin%20master/cmasterspin.com/rewards/i.imgur.com/N2hPCmU.png	(from http://cmasterspin.com/rewards/spins/1000/index.html)
18:48:51	102513/102513	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Apr%202019%2010:08:38%20GMT	http://cmasterspin.com/rewards/i.imgur.com/7hvkdJO.png	C:/Users/Sovannda/Desktop/clone%20web/coin%20master/cmasterspin.com/rewards/i.imgur.com/7hvkdJO.png	(from http://cmasterspin.com/rewards/spins/1000/index.html)
18:48:52	5589/5589	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Apr%202019%2010:08:38%20GMT	http://cmasterspin.com/rewards/i.imgur.com/pafa1ow.jpg	C:/Users/Sovannda/Desktop/clone%20web/coin%20master/cmasterspin.com/rewards/i.imgur.com/pafa1ow.jpg	(from http://cmasterspin.com/rewards/spins/1000/index.html)
18:48:54	7920/7920	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Apr%202019%2010:08:38%20GMT	http://cmasterspin.com/rewards/i.imgur.com/NirrO63.jpg	C:/Users/Sovannda/Desktop/clone%20web/coin%20master/cmasterspin.com/rewards/i.imgur.com/NirrO63.jpg	(from http://cmasterspin.com/rewards/spins/1000/index.html)
18:49:03	52022/52022	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Apr%202019%2010:08:38%20GMT	http://cmasterspin.com/rewards/i.imgur.com/NUdYHtR.jpg	C:/Users/Sovannda/Desktop/clone%20web/coin%20master/cmasterspin.com/rewards/i.imgur.com/NUdYHtR.jpg	(from http://cmasterspin.com/rewards/spins/1000/index.html)
18:49:04	84189/84189	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Apr%202019%2010:08:38%20GMT	http://cmasterspin.com/rewards/i.imgur.com/Pq8jMDV.jpg	C:/Users/Sovannda/Desktop/clone%20web/coin%20master/cmasterspin.com/rewards/i.imgur.com/Pq8jMDV.jpg	(from http://cmasterspin.com/rewards/spins/1000/index.html)
18:49:11	47550/47550	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Apr%202019%2010:08:38%20GMT	http://cmasterspin.com/rewards/i.imgur.com/Cw0E8ZR.png	C:/Users/Sovannda/Desktop/clone%20web/coin%20master/cmasterspin.com/rewards/i.imgur.com/Cw0E8ZR.png	(from http://cmasterspin.com/rewards/spins/1000/index.html)
18:49:14	58000/58000	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Apr%202019%2010:08:38%20GMT	http://cmasterspin.com/rewards/i.imgur.com/PNLtImc.jpg	C:/Users/Sovannda/Desktop/clone%20web/coin%20master/cmasterspin.com/rewards/i.imgur.com/PNLtImc.jpg	(from http://cmasterspin.com/rewards/spins/1000/index.html)
18:49:15	21239/21239	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Apr%202019%2010:08:38%20GMT	http://cmasterspin.com/rewards/i.imgur.com/aTo1yVP.jpg	C:/Users/Sovannda/Desktop/clone%20web/coin%20master/cmasterspin.com/rewards/i.imgur.com/aTo1yVP.jpg	(from http://cmasterspin.com/rewards/spins/1000/index.html)
18:49:15	22345/22345	---MCZ	200	added ('OK')	text/javascript	etag:W/%225749-5809f72fa728c%22	https://cpabuild.com/public/external/locker.js	C:/Users/Sovannda/Desktop/clone%20web/coin%20master/cpabuild.com/public/external/locker.js	(from http://cmasterspin.com/rewards/spins/1000/index.html)
18:49:19	281589/281589	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Apr%202019%2010:37:58%20GMT	http://cmasterspin.com/rewards/i.imgur.com/bi3zJAQ.png	C:/Users/Sovannda/Desktop/clone%20web/coin%20master/cmasterspin.com/rewards/i.imgur.com/bi3zJAQ.png	(from http://cmasterspin.com/rewards/spins/1000/index.html)
18:49:25	365927/365927	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Apr%202019%2010:08:38%20GMT	http://cmasterspin.com/rewards/i.imgur.com/1LXCSfQ.jpg	C:/Users/Sovannda/Desktop/clone%20web/coin%20master/cmasterspin.com/rewards/i.imgur.com/1LXCSfQ.jpg	(from http://cmasterspin.com/rewards/spins/1000/index.html)
